player_name,minutes_played,season
Philipp Köhn,3957.0,22/23
Philipp Köhn,3900.0,21/22
Philipp Köhn,2962.0,20/21
Philipp Köhn,0.0,19/20
Philipp Köhn,1260.0,18/19
Philipp Köhn,3825.0,16/17
Philipp Köhn,2700.0,15/16
Philipp Köhn,4437.0,14/15
Yann Lienard,90.0,23/24
Yann Lienard,405.0,22/23
Yann Lienard,2700.0,21/22
Yann Lienard,540.0,20/21
Wilfried Singo,2422.0,24/25
Wilfried Singo,3229.0,23/24
Wilfried Singo,2564.0,22/23
Wilfried Singo,2837.0,21/22
Wilfried Singo,2581.0,20/21
Wilfried Singo,1699.0,19/20
Wilfried Singo,1573.0,18/19
Thilo Kehrer,2250.0,23/24
Thilo Kehrer,3979.0,22/23
Thilo Kehrer,2332.0,21/22
Thilo Kehrer,2780.0,20/21
Thilo Kehrer,3423.0,18/19
Thilo Kehrer,3221.0,17/18
Thilo Kehrer,2200.0,16/17
Thilo Kehrer,2254.0,15/16
Thilo Kehrer,4906.0,14/15
Mohammed Salisu,2047.0,24/25
Mohammed Salisu,1771.0,23/24
Mohammed Salisu,2651.0,22/23
Mohammed Salisu,3542.0,21/22
Mohammed Salisu,950.0,20/21
Mohammed Salisu,4474.0,18/19
Mohammed Salisu,2202.0,17/18
Christian Mawissa,1829.0,24/25
Christian Mawissa,2634.0,23/24
Christian Mawissa,3725.0,22/23
Christian Mawissa,489.0,21/22
Caio Henrique,644.0,23/24
Caio Henrique,4526.0,22/23
Caio Henrique,4854.0,21/22
Caio Henrique,2760.0,20/21
Caio Henrique,1237.0,19/20
Caio Henrique,9245.0,18/19
Caio Henrique,4324.0,17/18
Caio Henrique,1067.0,16/17
Kassoum Ouattara,611.0,24/25
Kassoum Ouattara,2163.0,23/24
Kassoum Ouattara,2535.0,22/23
Kassoum Ouattara,3259.0,21/22
Vanderson,2183.0,23/24
Vanderson,3332.0,22/23
Vanderson,1614.0,21/22
Vanderson,5995.0,20/21
Vanderson,840.0,19/20
Jordan Teze,4176.0,23/24
Jordan Teze,4203.0,22/23
Jordan Teze,3780.0,21/22
Jordan Teze,4880.0,20/21
Jordan Teze,1612.0,19/20
Jordan Teze,2091.0,18/19
Jordan Teze,4784.0,17/18
Jordan Teze,4363.0,16/17
Jordan Teze,674.0,15/16
Denis Zakaria,2531.0,24/25
Denis Zakaria,2506.0,23/24
Denis Zakaria,1428.0,22/23
Denis Zakaria,2500.0,21/22
Denis Zakaria,2423.0,20/21
Denis Zakaria,3207.0,19/20
Denis Zakaria,3200.0,18/19
Denis Zakaria,2960.0,17/18
Denis Zakaria,3392.0,16/17
Denis Zakaria,2926.0,15/16
Denis Zakaria,3159.0,14/15
Soungoutou Magassa,1360.0,24/25
Soungoutou Magassa,1723.0,23/24
Soungoutou Magassa,438.0,22/23
Soungoutou Magassa,3523.0,21/22
Moatasem Al-Musrati,2666.0,24/25
Moatasem Al-Musrati,2338.0,23/24
Moatasem Al-Musrati,3962.0,22/23
Moatasem Al-Musrati,5315.0,21/22
Moatasem Al-Musrati,3326.0,20/21
Moatasem Al-Musrati,3347.0,19/20
Moatasem Al-Musrati,1042.0,17/18
Moatasem Al-Musrati,131.0,16/17
Lamine Camara,2439.0,24/25
Lamine Camara,3430.0,23/24
Lamine Camara,1348.0,22/23
Edan Diop,461.0,23/24
Edan Diop,1115.0,22/23
Aleksandr Golovin,1793.0,24/25
Aleksandr Golovin,2457.0,23/24
Aleksandr Golovin,3996.0,22/23
Aleksandr Golovin,2787.0,21/22
Aleksandr Golovin,2203.0,20/21
Aleksandr Golovin,3514.0,18/19
Aleksandr Golovin,5181.0,17/18
Aleksandr Golovin,3602.0,16/17
Aleksandr Golovin,1641.0,15/16
Aleksandr Golovin,2703.0,14/15
Eliesse Ben Seghir,2540.0,24/25
Eliesse Ben Seghir,1228.0,23/24
Eliesse Ben Seghir,2451.0,22/23
Eliesse Ben Seghir,570.0,21/22
Takumi Minamino,3015.0,23/24
Takumi Minamino,1604.0,22/23
Takumi Minamino,1373.0,21/22
Takumi Minamino,1836.0,20/21
Takumi Minamino,3240.0,19/20
Takumi Minamino,4007.0,18/19
Takumi Minamino,2864.0,17/18
Takumi Minamino,2136.0,16/17
Takumi Minamino,3151.0,15/16
Takumi Minamino,1014.0,14/15
Michal,1200.0,24/25
Michal,211.0,23/24
Michal,4732.0,22/23
