player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5029.0,20/21,Adductor pain,2021-01-23,"Feb 5, 2021",14 days,2,2021.0,30,26
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5029.0,20/21,Hip problems,2020-12-10,"Dec 17, 2020",8 days,2,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5029.0,20/21,Adductor pain,2020-11-25,"Dec 1, 2020",7 days,1,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5029.0,20/21,Adductor pain,2020-10-14,"Oct 18, 2020",5 days,1,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5029.0,20/21,Corona virus,2020-09-02,"Sep 16, 2020",15 days,3,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,3495.0,19/20,Hamstring strain,2020-01-23,"Feb 13, 2020",22 days,6,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,3495.0,19/20,Groin problems,2020-01-13,"Jan 20, 2020",8 days,2,2020.0,30,25
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5140.0,18/19,,,,,,,,
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,3760.0,17/18,,,,,,,,
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,3850.0,16/17,,,,,,,,
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,5063.0,15/16,,,,,,,,
Marquinhos,May 14 1994 (30),183 m,Centre-Back,30,3565.0,14/15,,,,,,,,
Lucas Beraldo,Nov 24 2003 (21),182 m,Centre-Back,21,2111.0,23/24,,,,,,,,
Lucas Beraldo,Nov 24 2003 (21),182 m,Centre-Back,21,6791.0,22/23,Injury to the ankle,2023-06-29,"Jul 19, 2023",21 days,5,2023.0,21,19
Lucas Beraldo,Nov 24 2003 (21),182 m,Centre-Back,21,1625.0,21/22,,,,,,,,
Lucas Beraldo,Nov 24 2003 (21),182 m,Centre-Back,21,1078.0,20/21,,,,,,,,
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,67.0,24/25,,,,,,,,
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,1146.0,22/23,Achilles tendon rupture,2023-02-26,"Nov 25, 2024",639 days,84,2023.0,29,27
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,1146.0,22/23,Achilles tendon problems,2022-11-14,"Feb 9, 2023",88 days,10,2022.0,29,26
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,1146.0,22/23,Achilles tendon problems,2022-11-01,"Nov 7, 2022",7 days,2,2022.0,29,26
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,1146.0,22/23,Hamstring injury,2022-09-12,"Oct 24, 2022",43 days,8,2022.0,29,26
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,1146.0,22/23,Calf injury,2022-08-30,"Sep 1, 2022",3 days,1,2022.0,29,26
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,3635.0,21/22,Thigh problems,2021-11-04,"Nov 15, 2021",12 days,1,2021.0,29,25
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,4782.0,20/21,Rest,2021-01-21,"Jan 25, 2021",5 days,1,2021.0,29,25
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,4782.0,20/21,Muscle injury,2020-12-21,"Jan 14, 2021",25 days,4,2020.0,29,24
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,4782.0,20/21,Hairline crack in foot,2020-11-05,"Nov 9, 2020",5 days,1,2020.0,29,24
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,2334.0,19/20,Thigh problems,2020-02-10,"Feb 17, 2020",8 days,2,2020.0,29,24
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,2334.0,19/20,Hamstring injury,2019-12-05,"Jan 13, 2020",40 days,8,2019.0,29,23
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,2334.0,19/20,Fitness,2019-08-12,"Aug 22, 2019",11 days,1,2019.0,29,23
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,3456.0,18/19,Pubalgia,2019-05-23,"Aug 12, 2019",82 days,6,2019.0,29,23
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,3456.0,18/19,Hamstring injury,2019-05-20,"Jul 1, 2019",43 days,4,2019.0,29,23
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,3378.0,17/18,,,,,,,,
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,2745.0,16/17,,,,,,,,
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,3792.0,15/16,Ankle injury,2015-10-15,"Nov 2, 2015",19 days,4,2015.0,29,19
Presnel Kimpembe,Aug 13 1995 (29),183 m,Centre-Back,29,4365.0,14/15,,,,,,,,
El Hannach,Dec 7 2006 (18),183 m,Centre-Back,18,2090.0,24/25,,,,,,,,
El Hannach,Dec 7 2006 (18),183 m,Centre-Back,18,3046.0,23/24,,,,,,,,
El Hannach,Dec 7 2006 (18),183 m,Centre-Back,18,1023.0,22/23,,,,,,,,
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3489.0,24/25,,,,,,,,
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,1543.0,23/24,,,,,,,,
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,2423.0,22/23,Hamstring injury,2023-05-01,"Feb 12, 2024",288 days,44,2023.0,22,20
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,2423.0,22/23,Muscle injury,2022-11-29,"Jan 16, 2023",49 days,8,2022.0,22,19
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,2423.0,22/23,Muscle injury,2022-11-21,"Nov 25, 2022",5 days,1,2022.0,22,19
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,2423.0,22/23,Hamstring injury,2022-10-03,"Oct 23, 2022",21 days,5,2022.0,22,19
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,2959.0,21/22,Ankle injury,2021-08-02,"Aug 19, 2021",18 days,2,2021.0,22,18
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3560.0,20/21,minor knock,2021-06-17,"Jun 21, 2021",5 days,1,2021.0,22,18
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3560.0,20/21,Rest,2021-02-01,"Feb 8, 2021",8 days,2,2021.0,22,18
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3560.0,20/21,Corona virus,2021-01-11,"Jan 25, 2021",15 days,4,2021.0,22,18
