player_name,minutes_played,season
Youri Baas,2009.0,21/22
Youri Baas,1955.0,20/21
Youri Baas,2358.0,19/20
Youri Baas,785.0,18/19
Daniele Rugani,1346.0,24/25
Daniele Rugani,743.0,22/23
Daniele Rugani,1711.0,18/19
Daniele Rugani,2495.0,17/18
Daniele Rugani,2188.0,16/17
Daniele Rugani,1943.0,15/16
Daniele Rugani,3960.0,14/15
Daniele Rugani,4264.0,13/14
Daniele Rugani,5181.0,12/13
Janse,2278.0,24/25
Janse,5125.0,23/24
Janse,5150.0,22/23
Janse,1402.0,21/22
Jorrel Hato,4663.0,24/25
Jorrel Hato,5689.0,23/24
Jorrel Hato,4354.0,22/23
Jorrel Hato,3804.0,21/22
Owen Wijndal,420.0,24/25
Owen Wijndal,3454.0,23/24
Owen Wijndal,1811.0,22/23
Owen Wijndal,4470.0,21/22
Owen Wijndal,5378.0,20/21
Owen Wijndal,5170.0,19/20
Owen Wijndal,2579.0,18/19
Owen Wijndal,2818.0,17/18
Owen Wijndal,3510.0,16/17
Owen Wijndal,2554.0,15/16
Anton Gaaei,2248.0,24/25
Anton Gaaei,3639.0,23/24
Anton Gaaei,3644.0,22/23
Anton Gaaei,2511.0,21/22
Anton Gaaei,1991.0,20/21
Lucas Rosa,2289.0,24/25
Lucas Rosa,1535.0,22/23
Lucas Rosa,2628.0,21/22
Lucas Rosa,1038.0,20/21
Lucas Rosa,2146.0,19/20
Lucas Rosa,1037.0,18/19
Mokio,1947.0,24/25
Mokio,850.0,23/24
Kenneth Taylor,3802.0,24/25
Kenneth Taylor,5422.0,23/24
Kenneth Taylor,3989.0,22/23
Kenneth Taylor,2206.0,21/22
Kenneth Taylor,2627.0,20/21
Kenneth Taylor,2373.0,19/20
Kenneth Taylor,6190.0,18/19
Kenneth Taylor,4077.0,17/18
Branco van den Boomen,1570.0,24/25
Branco van den Boomen,1586.0,23/24
Branco van den Boomen,2715.0,20/21
Branco van den Boomen,3401.0,14/15
Branco van den Boomen,1523.0,13/14
Branco van den Boomen,1587.0,12/13
Youri Regeer,2543.0,24/25
Youri Regeer,2709.0,23/24
Youri Regeer,2168.0,22/23
Youri Regeer,2714.0,21/22
Youri Regeer,3209.0,20/21
Youri Regeer,2764.0,19/20
Youri Regeer,4842.0,18/19
Kian Fitz-Jim,3196.0,24/25
Kian Fitz-Jim,2160.0,23/24
Kian Fitz-Jim,2628.0,22/23
Kian Fitz-Jim,3016.0,21/22
Kian Fitz-Jim,1604.0,20/21
Kian Fitz-Jim,3183.0,19/20
Kian Fitz-Jim,2213.0,18/19
Davy Klaassen,1709.0,24/25
Davy Klaassen,539.0,23/24
Davy Klaassen,3135.0,22/23
Davy Klaassen,2594.0,21/22
Davy Klaassen,5429.0,20/21
Davy Klaassen,1372.0,17/18
Davy Klaassen,6659.0,16/17
Davy Klaassen,4508.0,15/16
Davy Klaassen,4358.0,14/15
Davy Klaassen,3794.0,13/14
Davy Klaassen,311.0,12/13
Jordan Henderson,3604.0,24/25
Jordan Henderson,3083.0,23/24
Jordan Henderson,2938.0,22/23
Jordan Henderson,4239.0,21/22
Jordan Henderson,2593.0,20/21
Jordan Henderson,3381.0,19/20
Jordan Henderson,3528.0,18/19
Jordan Henderson,4117.0,17/18
Jordan Henderson,3139.0,16/17
Jordan Henderson,2710.0,15/16
Jordan Henderson,5534.0,14/15
Jordan Henderson,3954.0,13/14
Jordan Henderson,4077.0,12/13
Mika Godts,2624.0,24/25
Mika Godts,1968.0,23/24
Mika Godts,2679.0,22/23
Mika Godts,651.0,21/22
Oliver Edvardsen,1390.0,24/25
Oliver Edvardsen,2469.0,23/24
Amourricho Van Axel-Dongen,290.0,23/24
Amourricho Van Axel-Dongen,1318.0,21/22
Amourricho Van Axel-Dongen,352.0,20/21
Amourricho Van Axel-Dongen,1538.0,19/20
Bertrand Traoré,2914.0,24/25
Bertrand Traoré,969.0,23/24
Bertrand Traoré,1723.0,22/23
Bertrand Traoré,1013.0,21/22
Bertrand Traoré,2743.0,20/21
Bertrand Traoré,2363.0,19/20
Bertrand Traoré,2901.0,18/19
Bertrand Traoré,4133.0,17/18
Bertrand Traoré,5529.0,16/17
Bertrand Traoré,1007.0,15/16
Bertrand Traoré,3518.0,14/15
Bertrand Traoré,1032.0,13/14
Steven Berghuis,2010.0,24/25
Steven Berghuis,2817.0,23/24
Steven Berghuis,3622.0,22/23
Steven Berghuis,3714.0,21/22
Steven Berghuis,4977.0,20/21
Steven Berghuis,4241.0,19/20
Steven Berghuis,3798.0,18/19
Steven Berghuis,3725.0,17/18
Steven Berghuis,2915.0,16/17
Steven Berghuis,484.0,15/16
Steven Berghuis,1897.0,14/15
Steven Berghuis,3390.0,13/14
Steven Berghuis,2431.0,12/13
Christian Rasmussen,1297.0,24/25
Christian Rasmussen,2510.0,23/24
Christian Rasmussen,2373.0,22/23
Christian Rasmussen,3333.0,21/22
Christian Rasmussen,975.0,20/21
Christian Rasmussen,2948.0,19/20
Christian Rasmussen,403.0,18/19
Brian Brobbey,2505.0,24/25
Brian Brobbey,4337.0,23/24
Brian Brobbey,2536.0,22/23
Brian Brobbey,1261.0,21/22
Brian Brobbey,1691.0,20/21
Brian Brobbey,1297.0,19/20
Brian Brobbey,6281.0,18/19
Brian Brobbey,4253.0,17/18
Brian Brobbey,767.0,16/17
Wout Weghorst,1351.0,24/25
Wout Weghorst,2362.0,23/24
Wout Weghorst,4269.0,22/23
Wout Weghorst,3591.0,21/22
Wout Weghorst,4167.0,20/21
Wout Weghorst,4472.0,19/20
Wout Weghorst,3145.0,18/19
Wout Weghorst,3322.0,17/18
Wout Weghorst,3907.0,16/17
Wout Weghorst,1501.0,13/14
Rome Jayden Owusu-Oduro,3810.0,24/25
Rome Jayden Owusu-Oduro,2580.0,23/24
Rome Jayden Owusu-Oduro,2250.0,22/23
Rome Jayden Owusu-Oduro,4022.0,21/22
Rome Jayden Owusu-Oduro,720.0,20/21
Rome Jayden Owusu-Oduro,90.0,19/20
Jeroen Zoet,630.0,24/25
Jeroen Zoet,3630.0,19/20
Jeroen Zoet,4080.0,18/19
Jeroen Zoet,3809.0,17/18
Jeroen Zoet,3780.0,16/17
Jeroen Zoet,4107.0,15/16
Jeroen Zoet,4599.0,14/15
Jeroen Zoet,3922.0,13/14
Jeroen Zoet,3863.0,12/13
Hobie Verhulst,360.0,24/25
Hobie Verhulst,540.0,23/24
Hobie Verhulst,3960.0,22/23
Hobie Verhulst,990.0,21/22
Hobie Verhulst,453.0,20/21
Hobie Verhulst,1170.0,13/14
Hobie Verhulst,1350.0,12/13
Sem Westerveld,180.0,23/24
Sem Westerveld,1170.0,22/23
Sem Westerveld,2070.0,21/22
Sem Westerveld,0.0,19/20
Sem Westerveld,2366.0,18/19
Daniël Virginio Deen,990.0,24/25
Daniël Virginio Deen,540.0,23/24
Daniël Virginio Deen,720.0,22/23
