player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,818.0,24/25,Ill,2025-02-15,"Feb 19, 2025",5 days,1,2025.0,22.0,22.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,818.0,24/25,Muscle injury,2024-08-16,"Sep 16, 2024",32 days,5,2024.0,22.0,21.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,818.0,24/25,Fitness,2024-07-20,"Jul 31, 2024",12 days,1,2024.0,22.0,21.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,2328.0,23/24,Groin strain,2024-06-09,"Jun 13, 2024",5 days,-,2024.0,22.0,21.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,0.0,22/23,Torn lateral knee ligament,2022-11-11,"Oct 23, 2023",347 days,48,2022.0,22.0,19.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,0.0,22/23,Partial damage to the cruciate ligament,2022-09-21,"Oct 29, 2022",39 days,8,2022.0,22.0,19.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,2134.0,21/22,Ligament injury,2022-03-26,"Apr 2, 2022",8 days,-,2022.0,22.0,19.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,2134.0,21/22,minor knock,2021-08-02,"Aug 6, 2021",5 days,1,2021.0,22.0,18.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,1408.0,20/21,Corona virus,2021-05-13,"May 17, 2021",5 days,1,2021.0,22.0,18.0
Ahmetcan Kaplan,Jan 16 2003 (22),189 m,Centre-Back,22,1408.0,20/21,Corona virus,2020-12-03,"Dec 17, 2020",15 days,3,2020.0,22.0,17.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,4449.0,24/25,Ill,2025-02-15,"Feb 22, 2025",8 days,2,2025.0,21.0,21.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,4449.0,24/25,unknown injury,2024-09-20,"Sep 22, 2024",3 days,1,2024.0,21.0,20.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,2147.0,23/24,unknown injury,2024-01-16,"Feb 4, 2024",20 days,4,2024.0,21.0,20.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,2147.0,23/24,unknown injury,2023-10-30,"Nov 3, 2023",5 days,1,2023.0,21.0,19.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,2147.0,23/24,Groin injury,2023-09-27,"Oct 15, 2023",19 days,3,2023.0,21.0,19.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,1116.0,22/23,Syndesmosis ligament tear,2022-10-21,"Feb 19, 2023",122 days,18,2022.0,21.0,18.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,2009.0,21/22,,,,,,,,
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,1955.0,20/21,,,,,,,,
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,2358.0,19/20,Knock,2020-01-24,"Mar 6, 2020",43 days,5,2020.0,21.0,16.0
Youri Baas,Mar 17 2003 (21),188 m,Centre-Back,21,785.0,18/19,,,,,,,,
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,1346.0,24/25,Ill,2024-11-30,"Dec 7, 2024",8 days,2,2024.0,30.0,29.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,743.0,22/23,,,,,,,,
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,1711.0,18/19,inflammation,2019-05-03,"May 17, 2019",15 days,2,2019.0,30.0,24.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,1711.0,18/19,Bruised ribs,2018-10-03,"Oct 10, 2018",8 days,2,2018.0,30.0,23.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,2495.0,17/18,stomach problems,2018-01-10,"Jan 24, 2018",15 days,1,2018.0,30.0,23.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,2188.0,16/17,Knee problems,2017-04-27,"May 26, 2017",30 days,7,2017.0,30.0,22.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,2188.0,16/17,Outer ligament problems,2016-09-26,"Oct 20, 2016",25 days,7,2016.0,30.0,21.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,2188.0,16/17,Collateral ligament injury,2016-09-26,"Oct 20, 2016",25 days,7,2016.0,30.0,21.0
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,1943.0,15/16,,,,,,,,
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,3960.0,14/15,,,,,,,,
Daniele Rugani,Jul 29 1994 (30),190 m,Centre-Back,30,4264.0,13/14,,,,,,,,
