player_name,minutes_played,season
Martin Terrier,3901.0,21/22
Martin Terrier,2324.0,18/19
Martin Terrier,2295.0,17/18
Martin Terrier,2450.0,16/17
Victor Boniface,1403.0,24/25
Victor Boniface,2755.0,23/24
Victor Boniface,5027.0,22/23
Victor Boniface,1103.0,21/22
Victor Boniface,446.0,20/21
Victor Boniface,367.0,18/19
Patrik Schick,1631.0,24/25
Patrik Schick,2209.0,23/24
Patrik Schick,1765.0,22/23
Patrik Schick,2289.0,21/22
Patrik Schick,3453.0,20/21
Patrik Schick,1655.0,19/20
Patrik Schick,2594.0,18/19
Patrik Schick,1562.0,17/18
Patrik Schick,2084.0,16/17
Patrik Schick,2989.0,15/16
Patrik Schick,514.0,14/15
Patrik Schick,677.0,13/14
Alejo Sarco,1180.0,23/24
Alejo Sarco,1023.0,22/23
Alexander Nübel,3150.0,24/25
Alexander Nübel,3060.0,23/24
Alexander Nübel,5340.0,22/23
Alexander Nübel,5370.0,21/22
Alexander Nübel,360.0,20/21
Alexander Nübel,2616.0,19/20
Alexander Nübel,2589.0,18/19
Alexander Nübel,990.0,17/18
Alexander Nübel,900.0,16/17
Alexander Nübel,1171.0,15/16
Alexander Nübel,1080.0,14/15
Dennis Seimen,2205.0,24/25
Dennis Seimen,1980.0,23/24
Dennis Seimen,3720.0,22/23
Dennis Seimen,3900.0,21/22
Dennis Seimen,725.0,20/21
Fabian Bredlow,1710.0,22/23
Fabian Bredlow,3180.0,16/17
Fabian Bredlow,3735.0,15/16
Fabian Bredlow,2622.0,14/15
Fabian Bredlow,270.0,13/14
Fabian Bredlow,180.0,12/13
Stefan Drljaca,180.0,24/25
Stefan Drljaca,1350.0,21/22
Stefan Drljaca,4770.0,17/18
Jeff Chabot,1966.0,22/23
Jeff Chabot,844.0,19/20
Jeff Chabot,2347.0,18/19
Jeff Chabot,2031.0,17/18
Jeff Chabot,4286.0,16/17
Jeff Chabot,1956.0,15/16
Jeff Chabot,4220.0,14/15
Jeff Chabot,1062.0,13/14
Ameen Al-Dakhil,609.0,24/25
Ameen Al-Dakhil,1321.0,23/24
Ameen Al-Dakhil,2932.0,22/23
Ameen Al-Dakhil,1505.0,21/22
Dan-Axel Zagadou,28.0,24/25
Dan-Axel Zagadou,1445.0,21/22
Dan-Axel Zagadou,383.0,20/21
Dan-Axel Zagadou,1883.0,19/20
Dan-Axel Zagadou,2273.0,18/19
Dan-Axel Zagadou,1267.0,17/18
Dan-Axel Zagadou,2370.0,16/17
Dan-Axel Zagadou,775.0,15/16
Finn Jeltsch,2249.0,24/25
Finn Jeltsch,3315.0,23/24
Finn Jeltsch,5185.0,22/23
Finn Jeltsch,2660.0,21/22
Anrie Chase,1776.0,24/25
Anrie Chase,2061.0,23/24
Anrie Chase,760.0,22/23
Luca Jaquez,2968.0,23/24
Luca Jaquez,1464.0,22/23
Luca Jaquez,3261.0,21/22
Luca Jaquez,3570.0,20/21
Luca Jaquez,1634.0,19/20
Luca Jaquez,290.0,18/19
Maximilian Mittelstädt,2730.0,24/25
Maximilian Mittelstädt,2880.0,23/24
Maximilian Mittelstädt,844.0,22/23
Maximilian Mittelstädt,2413.0,18/19
Maximilian Mittelstädt,1829.0,17/18
Maximilian Mittelstädt,1635.0,16/17
Maximilian Mittelstädt,2538.0,15/16
Maximilian Mittelstädt,4379.0,14/15
Maximilian Mittelstädt,4696.0,13/14
Ramon Hendriks,1040.0,24/25
Ramon Hendriks,413.0,22/23
Ramon Hendriks,1635.0,21/22
Ramon Hendriks,2112.0,20/21
Ramon Hendriks,4100.0,19/20
Ramon Hendriks,4123.0,18/19
Ramon Hendriks,5169.0,17/18
Josha Vagnoman,2114.0,24/25
Josha Vagnoman,2158.0,22/23
Josha Vagnoman,1225.0,21/22
Josha Vagnoman,2146.0,20/21
Josha Vagnoman,1812.0,19/20
Josha Vagnoman,1173.0,18/19
Josha Vagnoman,2580.0,17/18
Josha Vagnoman,4746.0,16/17
Leonidas Stergiou,681.0,24/25
Leonidas Stergiou,1207.0,23/24
Leonidas Stergiou,3660.0,22/23
Leonidas Stergiou,3285.0,21/22
Leonidas Stergiou,3411.0,20/21
Leonidas Stergiou,3560.0,19/20
Leonidas Stergiou,3002.0,18/19
Pascal Stenzel,1867.0,18/19
Pascal Stenzel,2723.0,17/18
Pascal Stenzel,2356.0,15/16
Pascal Stenzel,2398.0,14/15
Pascal Stenzel,3589.0,13/14
Pascal Stenzel,3724.0,12/13
Angelo Stiller,3154.0,24/25
Angelo Stiller,1401.0,22/23
Angelo Stiller,2637.0,21/22
Angelo Stiller,2957.0,20/21
Angelo Stiller,3496.0,19/20
Angelo Stiller,4856.0,18/19
Angelo Stiller,4505.0,17/18
Atakan Karazor,2595.0,24/25
Atakan Karazor,619.0,17/18
Atakan Karazor,4120.0,14/15
Atakan Karazor,1850.0,13/14
Atakan Karazor,2170.0,12/13
Yannik Keitel,1111.0,23/24
Yannik Keitel,1930.0,22/23
Yannik Keitel,879.0,21/22
Yannik Keitel,1470.0,19/20
Yannik Keitel,1688.0,18/19
Yannik Keitel,2797.0,17/18
Yannik Keitel,4497.0,16/17
Yannik Keitel,634.0,15/16
Nikolas Nartey,91.0,24/25
Nikolas Nartey,737.0,21/22
Nikolas Nartey,2108.0,20/21
Nikolas Nartey,2078.0,19/20
Nikolas Nartey,1579.0,18/19
Nikolas Nartey,1598.0,17/18
Nikolas Nartey,1761.0,16/17
Enzo Millot,3141.0,23/24
Enzo Millot,212.0,21/22
Enzo Millot,1189.0,19/20
Enzo Millot,1567.0,18/19
Laurin Ulrich,593.0,24/25
Laurin Ulrich,1746.0,23/24
Laurin Ulrich,2432.0,22/23
Laurin Ulrich,4650.0,21/22
Laurin Ulrich,789.0,20/21
Laurin Ulrich,228.0,19/20
Chris Führich,2212.0,24/25
Chris Führich,3046.0,23/24
Chris Führich,2031.0,19/20
Chris Führich,2479.0,17/18
Chris Führich,4400.0,16/17
Jacob Bruun Larsen,1412.0,24/25
Jacob Bruun Larsen,1511.0,23/24
Jacob Bruun Larsen,467.0,22/23
Jacob Bruun Larsen,990.0,21/22
Jacob Bruun Larsen,1242.0,20/21
Jacob Bruun Larsen,1254.0,19/20
Jacob Bruun Larsen,1752.0,18/19
Jacob Bruun Larsen,1269.0,17/18
Jacob Bruun Larsen,3865.0,16/17
Jacob Bruun Larsen,5308.0,15/16
Jacob Bruun Larsen,1706.0,14/15
Justin Diehl,356.0,24/25
Justin Diehl,1983.0,23/24
Justin Diehl,3226.0,22/23
Justin Diehl,1341.0,21/22
Justin Diehl,228.0,20/21
Justin Diehl,1682.0,19/20
Jarzinho Malanga,1759.0,24/25
Jarzinho Malanga,2612.0,23/24
Jarzinho Malanga,3526.0,22/23
Jamie Leweling,1707.0,24/25
Jamie Leweling,451.0,22/23
Jamie Leweling,2398.0,21/22
Jamie Leweling,1052.0,20/21
Jamie Leweling,1463.0,19/20
Fabian Rieder,1443.0,24/25
Fabian Rieder,1957.0,23/24
Fabian Rieder,4314.0,22/23
Fabian Rieder,2943.0,21/22
Fabian Rieder,2501.0,20/21
Fabian Rieder,1081.0,19/20
Fabian Rieder,4609.0,18/19
Fabian Rieder,1227.0,17/18
Luca Raimund,381.0,24/25
Luca Raimund,2481.0,23/24
Luca Raimund,2070.0,22/23
Luca Raimund,3115.0,21/22
Nick Woltemade,1261.0,24/25
Nick Woltemade,1610.0,23/24
Nick Woltemade,2942.0,22/23
Nick Woltemade,630.0,21/22
Nick Woltemade,3156.0,19/20
Nick Woltemade,4659.0,18/19
Nick Woltemade,918.0,17/18
Ermedin Demirovic,2425.0,24/25
Ermedin Demirovic,3199.0,23/24
Ermedin Demirovic,3299.0,22/23
Ermedin Demirovic,1302.0,21/22
Ermedin Demirovic,2084.0,20/21
Ermedin Demirovic,2627.0,19/20
Ermedin Demirovic,1669.0,18/19
Ermedin Demirovic,1177.0,17/18
Ermedin Demirovic,5183.0,16/17
Ermedin Demirovic,1944.0,15/16
Ermedin Demirovic,4911.0,14/15
Deniz Undav,1831.0,24/25
Deniz Undav,2400.0,23/24
Deniz Undav,2902.0,19/20
Deniz Undav,1938.0,18/19
Deniz Undav,1449.0,17/18
Deniz Undav,3337.0,16/17
Deniz Undav,2721.0,15/16
Deniz Undav,54.0,14/15
El Bilal Touré,746.0,24/25
El Bilal Touré,773.0,23/24
El Bilal Touré,1580.0,22/23
El Bilal Touré,1503.0,21/22
El Bilal Touré,1773.0,20/21
El Bilal Touré,1022.0,19/20
Wahid Faghir,656.0,23/24
Wahid Faghir,875.0,22/23
Wahid Faghir,1637.0,21/22
Wahid Faghir,2242.0,20/21
Wahid Faghir,2113.0,19/20
Wahid Faghir,755.0,18/19
Mohamed Sankoh,1127.0,22/23
Mohamed Sankoh,1563.0,20/21
Mohamed Sankoh,893.0,18/19
Mohamed Sankoh,1646.0,17/18
Thomas Kastanaras,1374.0,24/25
Thomas Kastanaras,1041.0,23/24
Thomas Kastanaras,1248.0,22/23
Thomas Kastanaras,4386.0,21/22
Thomas Kastanaras,2968.0,19/20
Thomas Kastanaras,304.0,18/19
Manuel Neuer,3614.0,23/24
Manuel Neuer,1890.0,22/23
Manuel Neuer,3861.0,21/22
Manuel Neuer,5820.0,20/21
Manuel Neuer,4590.0,19/20
Manuel Neuer,4508.0,18/19
