player_name,date_of_birth/age,height,position
Osame Sahraoui,Jun 11 2001 (23),170 m,Left Winger
Edon Zhegrova,Mar 31 1999 (26),180 m,Right Winger
Jonathan David,Jan 14 2000 (25),178 m,Centre-Forward
Matías Fernández-Pardo,Feb 3 2005 (20),188 m,Centre-Forward
Chuba Akpom,Oct 9 1995 (29),183 m,Centre-Forward
Marcin Bulka,Oct 4 1999 (25),199 m,Goalkeeper
Maxime Dupé,Mar 4 1993 (32),188 m,Goalkeeper
Teddy Boulhendi,Apr 9 2001 (23),185 m,Goalkeeper
Youssouf Ndayishimiye,Oct 27 1998 (26),183 m,Centre-Back
Moïse Bombito,Mar 30 2000 (25),190 m,Centre-Back
Mohamed Abdelmonem,Feb 1 1999 (26),183 m,Centre-Back
Dante,Oct 18 1983 (41),188 m,Centre-Back
Amidou Doumbouya,Aug 5 2007 (17),182 m,Centre-Back
Melvin Bard,Nov 6 2000 (24),173 m,Left-Back
Ali Abdi,Dec 20 1993 (31),183 m,Left-Back
Jonathan Clauss,Sep 25 1992 (32),178 m,Right-Back
Antoine Mendy,May 27 2004 (20),187 m,Right-Back
Pablo Rosario,Jan 7 1997 (28),185 m,Defensive Midfield
Baptiste Santamaria,Mar 9 1995 (30),183 m,Defensive Midfield
Hicham Boudaoui,Sep 23 1999 (25),175 m,Central Midfield
Tanguy Ndombélé,Dec 28 1996 (28),181 m,Central Midfield
Morgan Sanson,Aug 18 1994 (30),180 m,Central Midfield
Tom Louchet,May 4 2003 (21),178 m,Right Midfield
Jérémie Boga,Jan 3 1997 (28),172 m,Left Winger
Sofiane Diop,Jun 9 2000 (24),175 m,Left Winger
Mohamed-Ali Cho,Jan 19 2004 (21),182 m,Right Winger
Badredine Bouanani,Dec 8 2004 (20),177 m,Right Winger
Evann Guessand,Jul 1 2001 (23),188 m,Centre-Forward
Terem Moffi,May 25 1999 (25),188 m,Centre-Forward
Youssoufa Moukoko,Nov 20 2004 (20),179 m,Centre-Forward
Gaëtan Laborde,May 3 1994 (30),181 m,Centre-Forward
Victor Orakpo,Jan 14 2006 (19),194 m,Centre-Forward
Lucas Perri,Dec 10 1997 (27),197 m,Goalkeeper
Rémy Descamps,Jun 25 1996 (28),196 m,Goalkeeper
Diarra,Nov 11 2002 (22),190 m,Goalkeeper
Moussa Niakhaté,Mar 8 1996 (29),190 m,Centre-Back
Duje Caleta-Car,Sep 17 1996 (28),193 m,Centre-Back
Warmed Omari,Apr 23 2000 (24),188 m,Centre-Back
Abner,May 27 2000 (24),181 m,Left-Back
Nicolás Tagliafico,Aug 31 1992 (32),171 m,Left-Back
Ainsley Maitland-Niles,Aug 29 1997 (27),180 m,Right-Back
Saël Kumbedi,Mar 26 2005 (20),175 m,Right-Back
Clinton Mata,Nov 7 1992 (32),180 m,Right-Back
Tanner Tessmann,Sep 24 2001 (23),188 m,Defensive Midfield
Nemanja Matic,Aug 1 1988 (36),194 m,Defensive Midfield
Paul Akouokou,Dec 20 1997 (27),181 m,Defensive Midfield
Corentin Tolisso,Aug 3 1994 (30),181 m,Central Midfield
Jordan Veretout,Mar 1 1993 (32),177 m,Central Midfield
Thiago Almada,Apr 26 2001 (23),171 m,Attacking Midfield
Malick Fofana,Mar 31 2005 (20),169 m,Left Winger
Rayan Cherki,Aug 17 2003 (21),177 m,Right Winger
Ernest Nuamah,Nov 1 2003 (21),178 m,Right Winger
Georges Mikautadze,Oct 31 2000 (24),176 m,Centre-Forward
Alexandre Lacazette,May 28 1991 (33),175 m,Centre-Forward
Molebe,Sep 18 2007 (17),,Centre-Forward
Mathew Ryan,Apr 8 1992 (32),184 m,Goalkeeper
Hervé Koffi,Oct 16 1996 (28),186 m,Goalkeeper
Denis Petric,May 24 1988 (36),186 m,Goalkeeper
Facundo Medina,May 28 1999 (25),184 m,Centre-Back
Malang Sarr,Jan 23 1999 (26),183 m,Centre-Back
Jonathan Gradit,Nov 24 1992 (32),180 m,Centre-Back
Juma Bah,Apr 11 2006 (18),195 m,Centre-Back
Nidal Celik,Jul 17 2006 (18),192 m,Centre-Back
Jhoanner Chávez,Apr 25 2002 (22),182 m,Left-Back
Deiver Machado,Sep 2 1993 (31),180 m,Left-Back
Ruben Aguilar,Apr 26 1993 (31),172 m,Right-Back
Hamzat Ojediran,Nov 14 2003 (21),179 m,Defensive Midfield
Nampalys Mendy,Jun 23 1992 (32),168 m,Defensive Midfield
Tom Pouilly,Jun 18 2003 (21),180 m,Defensive Midfield
