player_name,date_of_birth/age,height,position
Fin Stevens,Apr 10 2003 (21),179 m,Right-Back
James Sands,Jul 6 2000 (24),186 m,Defensive Midfield
Marwin Schmitz,Jan 7 2007 (18),180 m,Defensive Midfield
Robert Wagner,Jul 14 2003 (21),181 m,Central Midfield
Connor Metcalfe,Nov 5 1999 (25),183 m,Central Midfield
Jackson Irvine,Mar 7 1993 (31),189 m,Central Midfield
Carlo Boukhalfa,May 3 1999 (25),186 m,Central Midfield
Erik Ahlstrand,Oct 14 2001 (23),184 m,Central Midfield
Elias Saad,Dec 27 1999 (25),185 m,Left Winger
Noah Weißhaupt,Sep 20 2001 (23),181 m,Left Winger
Romeo Aigbekaen,Jun 22 2004 (20),189 m,Left Winger
Oladapo Afolayan,Sep 11 1997 (27),180 m,Right Winger
Morgan Guilavogui,Mar 10 1998 (26),189 m,Right Winger
Danel Sinani,Apr 5 1997 (27),185 m,Right Winger
Scott Banks,Sep 26 2001 (23),183 m,Right Winger
Johannes Eggestein,May 8 1998 (26),183 m,Centre-Forward
Andreas Albers,Mar 23 1990 (34),193 m,Centre-Forward
Simon Zoller,Jun 26 1991 (33),179 m,Centre-Forward
Abdoulie Ceesay,Jan 5 2004 (21),185 m,Centre-Forward
Timon Weiner,Jan 18 1999 (26),191 m,Goalkeeper
Thomas Dähne,Jan 4 1994 (31),193 m,Goalkeeper
Marcel Engelhardt,Apr 5 1993 (31),191 m,Goalkeeper
Tyler Doğan,Nov 18 2005 (19),187 m,Goalkeeper
Marko Ivezic,Dec 2 2001 (23),191 m,Centre-Back
Colin Kleine-Bekel,Jan 24 2003 (22),192 m,Centre-Back
Timo Becker,Mar 25 1997 (27),190 m,Centre-Back
Max Geschwill,Jul 7 2001 (23),185 m,Centre-Back
Marco Komenda,Nov 26 1996 (28),184 m,Centre-Back
Carl Johansson,May 23 1994 (30),194 m,Centre-Back
David Zec,Jan 5 2000 (25),190 m,Centre-Back
Ivan Nekic,Dec 24 2000 (24),185 m,Centre-Back
John Tolkin,Jul 31 2002 (22),170 m,Left-Back
Dominik Javorcek,Nov 2 2002 (22),183 m,Left-Back
Lasse Rosenboom,Jan 19 2002 (23),190 m,Right-Back
Patrick Erras,Jan 21 1995 (30),196 m,Defensive Midfield
Marvin Schulz,Jan 15 1995 (30),186 m,Defensive Midfield
Armin Gigovic,Apr 6 2002 (22),187 m,Central Midfield
Magnus Knudsen,Jun 15 2001 (23),186 m,Central Midfield
Nicolai Remberg,Jun 19 2000 (24),188 m,Central Midfield
Lewis Holtby,Sep 18 1990 (34),176 m,Central Midfield
Aurel Wagbe,Feb 4 2004 (21),191 m,Left Midfield
Finn Porath,Feb 23 1997 (28),180 m,Attacking Midfield
Steven Skrzybski,Nov 18 1992 (32),174 m,Attacking Midfield
Andu Kelati,Aug 13 2002 (22),181 m,Left Winger
Alexander Bernhardsson,Sep 8 1998 (26),185 m,Right Winger
Shuto Machino,Sep 30 1999 (25),185 m,Centre-Forward
Benedikt Pichler,Jul 20 1997 (27),188 m,Centre-Forward
Phil Harres,Mar 25 2002 (22),193 m,Centre-Forward
Fiete Arp,Jan 6 2000 (25),186 m,Centre-Forward
Kevin Müller,Mar 15 1991 (33),190 m,Goalkeeper
Frank Feller,Jan 7 2004 (21),183 m,Goalkeeper
Vitus Eicher,Nov 5 1990 (34),191 m,Goalkeeper
Paul Tschernuth,Jan 20 2002 (23),186 m,Goalkeeper
Benedikt Gimber,Feb 19 1997 (28),187 m,Centre-Back
Patrick Mainka,Nov 6 1994 (30),194 m,Centre-Back
Tim Siersleben,Mar 9 2000 (24),187 m,Centre-Back
Thomas Keller,Aug 5 1999 (25),186 m,Centre-Back
Jonas Föhrenbach,Jan 26 1996 (29),184 m,Left-Back
Frans Krätzig,Jan 14 2003 (22),177 m,Left-Back
Omar Traoré,Feb 4 1998 (27),187 m,Right-Back
Marnon Busch,Dec 8 1994 (30),182 m,Right-Back
Niklas Dorsch,Jan 15 1998 (27),178 m,Defensive Midfield
Julian Niehues,Apr 17 2001 (23),195 m,Defensive Midfield
Luka Janes,Jan 19 2004 (21),183 m,Defensive Midfield
Norman Theuerkauf,Jan 24 1987 (38),183 m,Defensive Midfield
Jan Schöppner,Jun 12 1999 (25),190 m,Central Midfield
Luca Kerber,Mar 10 2002 (22),184 m,Central Midfield
Paul Wanner,Dec 23 2005 (19),185 m,Attacking Midfield
Adrian Beck,Jun 9 1997 (27),186 m,Attacking Midfield
Leo Scienza,Sep 13 1998 (26),175 m,Left Winger
Mathias Honsak,Dec 20 1996 (28),188 m,Left Winger
Christopher Negele,Apr 11 2005 (19),172 m,Left Winger
Sirlord Conteh,Jul 9 1996 (28),178 m,Right Winger
Marvin Pieringer,Oct 4 1999 (25),191 m,Centre-Forward
Maximilian Breunig,Aug 14 2000 (24),195 m,Centre-Forward
Budu Zivzivadze,Mar 10 1994 (30),189 m,Centre-Forward
Stefan Schimmer,Apr 28 1994 (30),185 m,Centre-Forward
