player_name,season,injury,from_date,to_date,days_out,matches_missed
Nordi Mukiele,22/23,Hamstring injury,"Mar 9, 2023","Jun 15, 2023",99 days,12
Nordi Mukiele,22/23,Hamstring injury,"Jan 16, 2023","Feb 23, 2023",39 days,8
Nordi Mukiele,21/22,Corona virus,"Jan 4, 2022","Jan 17, 2022",14 days,2
Nordi Mukiele,20/21,Torn muscle fiber,"Oct 25, 2020","Nov 2, 2020",9 days,2
Nordi Mukiele,19/20,Torn muscle fiber,"Nov 10, 2019","Nov 25, 2019",16 days,1
Arthur,23/24,Muscle injury,"Sep 8, 2023","Apr 7, 2024",213 days,37
Granit Xhaka,21/22,Inner ligament injury,"Sep 27, 2021","Dec 5, 2021",70 days,13
Granit Xhaka,20/21,Groin injury,"May 6, 2021","May 16, 2021",11 days,3
Granit Xhaka,20/21,Ill,"Apr 1, 2021","Apr 4, 2021",4 days,1
Granit Xhaka,19/20,Ankle injury,"Jun 18, 2020","Jun 24, 2020",7 days,1
Granit Xhaka,19/20,concussion,"Dec 9, 2019","Dec 17, 2019",9 days,3
Granit Xhaka,19/20,Back injury,"Aug 12, 2019","Aug 23, 2019",12 days,1
Granit Xhaka,18/19,Bruised ribs,"Apr 19, 2019","Apr 23, 2019",5 days,1
Granit Xhaka,18/19,Groin injury,"Mar 28, 2019","Apr 15, 2019",19 days,4
Granit Xhaka,18/19,Groin problems,"Jan 30, 2019","Feb 23, 2019",25 days,6
Granit Xhaka,17/18,Knee bruise,"May 31, 2018","Jun 4, 2018",5 days,1
Granit Xhaka,17/18,flu,"Apr 10, 2018","Apr 15, 2018",6 days,2
Granit Xhaka,16/17,Ankle injury,"Apr 30, 2017","May 10, 2017",11 days,6
Granit Xhaka,15/16,Ankle injury,"Oct 12, 2015","Oct 15, 2015",4 days,-
Granit Xhaka,14/15,cold,"May 21, 2015","Jun 1, 2015",12 days,1
Granit Xhaka,14/15,Torn ankle ligaments,"Oct 27, 2014","Nov 19, 2014",24 days,12
Robert Andrich,22/23,Metatarsal fracture,"May 12, 2023","Aug 1, 2023",82 days,7
Robert Andrich,22/23,bruise,"Aug 7, 2022","Aug 16, 2022",10 days,1
Robert Andrich,21/22,Knee problems,"Mar 1, 2022","Mar 11, 2022",11 days,2
Robert Andrich,21/22,Adductor pain,"Aug 13, 2021","Aug 17, 2021",5 days,1
Robert Andrich,20/21,Toe injury,"May 8, 2021","May 11, 2021",4 days,1
Robert Andrich,17/18,Knock,"Jul 27, 2017","Aug 2, 2017",7 days,2
Robert Andrich,16/17,cold,"Apr 28, 2017","May 1, 2017",4 days,1
Robert Andrich,16/17,muscular problems,"Mar 7, 2017","Mar 27, 2017",21 days,5
Robert Andrich,16/17,influenza,"Oct 12, 2016","Oct 17, 2016",6 days,1
Exequiel Palacios,24/25,Fitness,"Sep 5, 2024","Sep 16, 2024",12 days,3
Exequiel Palacios,24/25,Knee injury,"Aug 5, 2024","Sep 5, 2024",32 days,4
Exequiel Palacios,23/24,muscular problems,"Mar 29, 2024","Apr 1, 2024",4 days,1
Exequiel Palacios,23/24,Muscle injury,"Jan 21, 2024","Feb 27, 2024",38 days,6
Exequiel Palacios,23/24,Rest,"Dec 13, 2023","Dec 15, 2023",3 days,1
Exequiel Palacios,23/24,Knee problems,"Nov 8, 2023","Nov 10, 2023",3 days,1
Exequiel Palacios,22/23,Muscle injury,"Apr 10, 2023","May 3, 2023",24 days,5
Exequiel Palacios,22/23,Hamstring injury,"Sep 8, 2022","Oct 27, 2022",50 days,16
Exequiel Palacios,21/22,Back injury,"Jan 3, 2022","Feb 10, 2022",39 days,6
Exequiel Palacios,21/22,cold,"Oct 14, 2021","Oct 18, 2021",5 days,2
Exequiel Palacios,21/22,Torn lateral ankle ligament,"Sep 16, 2021","Oct 4, 2021",19 days,5
Exequiel Palacios,20/21,Adductor injury,"May 13, 2021","May 31, 2021",19 days,2
Exequiel Palacios,20/21,Lumbar vertebra fracture,"Nov 16, 2020","Jan 25, 2021",71 days,16
Exequiel Palacios,20/21,Ill,"Oct 26, 2020","Oct 29, 2020",4 days,2
Exequiel Palacios,19/20,Torn muscle bundle,"May 30, 2019","Jul 8, 2019",40 days,10
Aleix García,21/22,Muscle injury,"Jan 27, 2022","Feb 10, 2022",15 days,2
Jeremie Frimpong,23/24,unknown injury,"Nov 16, 2023","Nov 23, 2023",8 days,2
Jeremie Frimpong,21/22,Syndesmotic ligament tear,"Mar 14, 2022","May 5, 2022",53 days,11
Jeremie Frimpong,19/20,Knock,"Nov 25, 2019","Nov 28, 2019",4 days,1
Nathan Tella,24/25,Hip problems,"Feb 19, 2025",,8 days,1
Nathan Tella,22/23,Muscle injury,"Apr 15, 2023","May 1, 2023",17 days,5
Nathan Tella,21/22,Groin injury,"Jan 22, 2022","Mar 17, 2022",55 days,11
Nathan Tella,21/22,Corona virus,"Dec 17, 2021","Dec 27, 2021",11 days,1
Nathan Tella,20/21,bruise,"Jan 5, 2021","Feb 5, 2021",32 days,6
Nathan Tella,19/20,bruise,"Jun 29, 2020","Jul 31, 2020",33 days,6
Florian Wirtz,24/25,Capsular injury,"Oct 15, 2024","Oct 17, 2024",3 days,-
Florian Wirtz,23/24,bruise,"May 10, 2024","May 16, 2024",7 days,1
Florian Wirtz,23/24,bruise,"May 4, 2024","May 8, 2024",5 days,1
Florian Wirtz,23/24,muscular problems,"Nov 29, 2023","Dec 1, 2023",3 days,1
Florian Wirtz,22/23,Stomach flu,"Apr 22, 2023","Apr 26, 2023",5 days,1
Florian Wirtz,22/23,Rest,"Mar 11, 2023","Mar 13, 2023",3 days,1
Florian Wirtz,22/23,muscular problems,"Mar 10, 2023","Mar 14, 2023",5 days,1
Florian Wirtz,21/22,Cruciate ligament tear,"Mar 14, 2022","Dec 4, 2022",266 days,43
Florian Wirtz,21/22,Hip flexor problems,"Nov 4, 2021","Nov 18, 2021",15 days,4
Florian Wirtz,21/22,Adductor pain,"Aug 5, 2021","Aug 19, 2021",15 days,2
Florian Wirtz,20/21,Adductor pain,"Apr 12, 2021","Apr 19, 2021",8 days,2
Florian Wirtz,20/21,Corona virus,"Mar 4, 2021","Mar 8, 2021",5 days,1
Florian Wirtz,20/21,Knee problems,"Jan 4, 2021","Jan 18, 2021",15 days,3
Florian Wirtz,20/21,Rest,"Dec 10, 2020","Dec 10, 2020",1 days,1
