player_name,date_of_birth/age,height,position
Michal Sadílek,May 31 1999 (25),169 m,Central Midfield
Gijs Besselink,Jun 16 2004 (20),180 m,Central Midfield
Harrie Kuster,Sep 11 2005 (19),183 m,Central Midfield
Sem Steijn,Nov 12 2001 (23),173 m,Attacking Midfield
Michel Vlap,Jun 2 1997 (27),190 m,Attacking Midfield
Arno Verschueren,Apr 8 1997 (27),185 m,Attacking Midfield
Younes Taha,Nov 27 2002 (22),176 m,Attacking Midfield
Sayfallah Ltaief,Apr 22 2000 (24),178 m,Left Winger
Naci Ünüvar,Jun 13 2003 (21),168 m,Left Winger
Daan Rots,Jul 25 2001 (23),179 m,Right Winger
Taylor Booth,May 31 2001 (23),174 m,Right Winger
Sam Lammers,Apr 30 1997 (27),191 m,Centre-Forward
Ricky van Wolfswinkel,Jan 27 1989 (36),186 m,Centre-Forward
Vasilios Barkas,May 30 1994 (30),196 m,Goalkeeper
Michael Brouwer,Jan 21 1993 (32),189 m,Goalkeeper
Tom de Graaff,Dec 10 2004 (20),193 m,Goalkeeper
Kevin Gadellaa,Apr 8 2003 (21),206 m,Goalkeeper
Mike van der Hoorn,Oct 15 1992 (32),190 m,Centre-Back
Matisse Didden,Oct 8 2001 (23),198 m,Centre-Back
Nick Viergever,Aug 3 1989 (35),183 m,Centre-Back
Joshua Mukeh,Feb 18 2003 (22),185 m,Centre-Back
Souffian El Karouani,Oct 19 2000 (24),178 m,Left-Back
Kolbeinn Finnsson,Aug 25 1999 (25),181 m,Left-Back
Siebe Horemans,Jun 2 1998 (26),186 m,Right-Back
Niklas Vesterlund,Jun 6 1999 (25),185 m,Right-Back
Alonzo Engwanda,Jan 27 2003 (22),185 m,Defensive Midfield
Paxten Aaronson,Aug 26 2003 (21),175 m,Central Midfield
Can Bozdogan,Apr 5 2001 (23),174 m,Central Midfield
Oscar Fraulo,Dec 6 2003 (21),180 m,Central Midfield
Zidane Iqbal,Apr 27 2003 (21),181 m,Central Midfield
Victor Jensen,Feb 8 2000 (25),175 m,Attacking Midfield
Jens Toornstra,Apr 4 1989 (35),178 m,Attacking Midfield
Yoann Cathline,Jul 22 2002 (22),176 m,Left Winger
Adrian Blake,Jul 15 2005 (19),170 m,Left Winger
Miguel Rodríguez,Apr 29 2003 (21),179 m,Right Winger
Miliano Jonathans,Apr 5 2004 (20),178 m,Right Winger
Noah Ohio,Jan 16 2003 (22),183 m,Centre-Forward
Sébastien Haller,Jun 22 1994 (30),190 m,Centre-Forward
David Min,Jun 23 1999 (25),194 m,Centre-Forward
Anthony Descotte,Aug 3 2003 (21),180 m,Centre-Forward
Thomas Didillon-Hödl,Nov 28 1995 (29),193 m,Goalkeeper
Connor van den Berg,Mar 18 2001 (23),187 m,Goalkeeper
Maarten Schut,Oct 13 2003 (21),180 m,Goalkeeper
Tommy St. Jago,Jan 3 2000 (25),186 m,Centre-Back
Raffael Behounek,Apr 16 1997 (27),187 m,Centre-Back
Erik Schouten,Aug 16 1991 (33),182 m,Centre-Back
Miodrag Pivas,May 17 2005 (19),188 m,Centre-Back
Jens Mathijsen,Aug 15 2007 (17),183 m,Centre-Back
Rúnar Thór Sigurgeirsson,Dec 28 1999 (25),186 m,Left-Back
Rob Nizet,Apr 14 2002 (22),177 m,Left-Back
Mickaël Tirpan,Oct 23 1993 (31),177 m,Right-Back
Boris Lambert,Apr 10 2000 (24),187 m,Defensive Midfield
Amine Lachkar,Apr 18 2003 (21),189 m,Defensive Midfield
Jesse Bosch,Feb 1 2000 (25),176 m,Central Midfield
Dennis Kaygın,Apr 2 2004 (20),186 m,Central Midfield
Ringo Meerveld,Dec 21 2002 (22),177 m,Attacking Midfield
Cisse Sandra,Dec 16 2003 (21),184 m,Attacking Midfield
Dani Mathieu,Feb 9 2001 (24),176 m,Attacking Midfield
Amar Fatah,Feb 19 2004 (21),180 m,Left Winger
Patrick Joosten,Apr 14 1996 (28),185 m,Left Winger
Nick Doodeman,Oct 22 1996 (28),173 m,Right Winger
Per van Loon,Dec 31 2004 (20),176 m,Right Winger
Kyan Vaesen,Apr 13 2001 (23),190 m,Centre-Forward
Youssuf Sylla,Dec 19 2002 (22),191 m,Centre-Forward
Emilio Kehrer,Mar 20 2002 (22),177 m,Centre-Forward
Jeremy Bokila,Nov 14 1988 (36),188 m,Centre-Forward
