player_name,date_of_birth/age,height,position
Ramiz Zerrouki,May 26 1998 (26),183 m,Defensive Midfield
Oussama Targhalline,May 20 2002 (22),186 m,Defensive Midfield
Quinten Timber,Jun 17 2001 (23),179 m,Central Midfield
In-beom Hwang,Sep 20 1996 (28),177 m,Central Midfield
Jakub Moder,Apr 7 1999 (25),191 m,Central Midfield
Shiloh 't Zand,May 14 2003 (21),177 m,Central Midfield
Antoni Milambo,Apr 3 2005 (19),179 m,Attacking Midfield
Calvin Stengs,Dec 18 1998 (26),187 m,Attacking Midfield
Chris-Kévin Nadje,Aug 14 2001 (23),190 m,Attacking Midfield
Igor Paixão,Jun 28 2000 (24),168 m,Left Winger
Luka Ivanusec,Nov 26 1998 (26),175 m,Left Winger
Ibrahim Osman,Nov 29 2004 (20),179 m,Right Winger
Anis Hadj Moussa,Feb 11 2002 (23),176 m,Right Winger
Ayase Ueda,Aug 28 1998 (26),182 m,Centre-Forward
Julián Carranza,May 22 2000 (24),182 m,Centre-Forward
Stéphano Carrillo,Mar 7 2006 (18),184 m,Centre-Forward
Zepiqueno Redmond,Jun 22 2006 (18),184 m,Centre-Forward
Mattijs Branderhorst,Dec 31 1993 (31),192 m,Goalkeeper
Luuk Koopmans,Nov 18 1993 (31),190 m,Goalkeeper
Ramazan Bayram,Oct 12 2004 (20),190 m,Goalkeeper
Rodrigo Guth,Nov 10 2000 (24),192 m,Centre-Back
Shawn Adewoye,Jun 29 2000 (24),183 m,Centre-Back
Syb van Ottele,Feb 2 2002 (23),185 m,Centre-Back
Darijo Grujcic,May 19 1999 (25),188 m,Centre-Back
Mitchell Dijks,Feb 9 1993 (32),194 m,Left-Back
Daley Sinkgraven,Jul 4 1995 (29),179 m,Left-Back
Jasper Dahlhaus,Nov 27 2001 (23),176 m,Left-Back
Ivo Pinto,Jan 7 1990 (35),182 m,Right-Back
Loreintz Rosier,Aug 14 1998 (26),190 m,Defensive Midfield
Tristan Schenkhuizen,Jul 12 2004 (20),178 m,Defensive Midfield
Edouard Michut,Mar 4 2003 (21),177 m,Central Midfield
Ryan Fosso,Jun 17 2002 (22),183 m,Central Midfield
Samuel Bastien,Sep 26 1996 (28),175 m,Central Midfield
Ezequiel Bullaude,Oct 26 2000 (24),184 m,Attacking Midfield
Alen Halilovic,Jun 18 1996 (28),169 m,Attacking Midfield
Luka Tunjic,Nov 19 2005 (19),183 m,Attacking Midfield
Makan Aïko,Jan 7 2001 (24),180 m,Left Winger
Kristoffer Peterson,Nov 28 1994 (30),185 m,Left Winger
Josip Mitrovic,Jun 11 2000 (24),174 m,Right Winger
Kaj Sierhuis,Apr 27 1998 (26),180 m,Centre-Forward
Bojan Radulović,Dec 29 1999 (25),192 m,Centre-Forward
Alessio da Cruz,Jan 18 1997 (28),186 m,Centre-Forward
Onur Demir,Aug 23 2002 (22),180 m,Centre-Forward
Luca Plogmann,Mar 10 2000 (24),188 m,Goalkeeper
Jari De Busser,Oct 21 1999 (25),190 m,Goalkeeper
Sven Jansen,Oct 23 2004 (20),192 m,Goalkeeper
