player_name,minutes_played,season
Cameron Pring,2046.0,19/20
Cameron Pring,1088.0,18/19
Haydon Roberts,2395.0,20/21
Haydon Roberts,2025.0,19/20
Haydon Roberts,2797.0,18/19
Haydon Roberts,1633.0,17/18
George Tanner,1504.0,21/22
George Tanner,2584.0,19/20
George Tanner,2037.0,17/18
George Tanner,3111.0,16/17
Ross McCrorie,1048.0,24/25
Ross McCrorie,1483.0,23/24
Ross McCrorie,7036.0,22/23
Ross McCrorie,6744.0,21/22
Ross McCrorie,5781.0,20/21
Ross McCrorie,2367.0,19/20
Ross McCrorie,3087.0,18/19
Ross McCrorie,4050.0,17/18
Ross McCrorie,2049.0,16/17
Ross McCrorie,2066.0,15/16
Max Bird,2224.0,20/21
Max Bird,1994.0,18/19
Max Bird,1878.0,17/18
Max Bird,2437.0,16/17
Marcus McGuane,825.0,24/25
Marcus McGuane,1259.0,20/21
Marcus McGuane,1304.0,19/20
Marcus McGuane,1318.0,18/19
Marcus McGuane,1167.0,17/18
Marcus McGuane,2896.0,16/17
Marcus McGuane,1726.0,15/16
Jason Knight,4141.0,24/25
Jason Knight,4354.0,23/24
Jason Knight,4504.0,22/23
Jason Knight,2943.0,21/22
Jason Knight,4224.0,20/21
Jason Knight,2633.0,19/20
Jason Knight,2919.0,18/19
Jason Knight,3021.0,17/18
Joe Williams,1143.0,24/25
Joe Williams,1290.0,21/22
Joe Williams,117.0,20/21
Joe Williams,2707.0,18/19
Joe Williams,575.0,16/17
Joe Williams,2032.0,15/16
Joe Williams,917.0,14/15
Joe Williams,354.0,12/13
Ayman Benarous,682.0,21/22
Ayman Benarous,102.0,19/20
Mark Sykes,1661.0,24/25
Mark Sykes,2811.0,23/24
Mark Sykes,2881.0,22/23
Mark Sykes,3627.0,21/22
Mark Sykes,2713.0,19/20
Mark Sykes,2987.0,18/19
Mark Sykes,3150.0,17/18
Mark Sykes,3133.0,16/17
Mark Sykes,2091.0,15/16
Mark Sykes,41.0,14/15
Scott Twine,2610.0,23/24
Scott Twine,3898.0,20/21
Scott Twine,2507.0,18/19
Scott Twine,234.0,17/18
George Earthy,1072.0,24/25
George Earthy,2552.0,23/24
George Earthy,2815.0,22/23
Anis Mehmeti,3067.0,22/23
Anis Mehmeti,2298.0,21/22
Anis Mehmeti,1566.0,20/21
Anis Mehmeti,980.0,18/19
Sam Bell,2215.0,23/24
Sam Bell,495.0,21/22
Sam Bell,36.0,20/21
Sam Bell,90.0,19/20
Yu Hirakawa,1469.0,24/25
Yu Hirakawa,2137.0,23/24
Yu Hirakawa,2971.0,22/23
Yu Hirakawa,591.0,21/22
Sinclair Armstrong,1452.0,24/25
Sinclair Armstrong,2559.0,23/24
Sinclair Armstrong,596.0,22/23
Sinclair Armstrong,1007.0,21/22
Sinclair Armstrong,759.0,19/20
Sinclair Armstrong,11.0,17/18
Harry Cornick,1233.0,16/17
Harry Cornick,19.0,14/15
Harry Cornick,326.0,13/14
Nahki Wells,1807.0,24/25
Nahki Wells,3606.0,22/23
Nahki Wells,1533.0,21/22
Nahki Wells,3301.0,19/20
Nahki Wells,3626.0,18/19
Nahki Wells,66.0,17/18
Nahki Wells,3575.0,16/17
