player_name,season,injury,from_date,to_date,days_out,matches_missed
Lucas Hernández,21/22,muscular problems,"Jun 9, 2022","Jun 13, 2022",5 days,2
Lucas Hernández,21/22,muscular problems,"Apr 14, 2022","Apr 21, 2022",8 days,1
Lucas Hernández,21/22,Thigh problems,"Apr 7, 2022","Apr 11, 2022",5 days,1
Lucas Hernández,21/22,Corona virus,"Jan 3, 2022","Jan 17, 2022",15 days,2
Lucas Hernández,21/22,Meniscus tear,"Jun 28, 2021","Aug 30, 2021",64 days,5
Lucas Hernández,20/21,Bruised ribs,"Apr 8, 2021","Apr 12, 2021",5 days,1
Lucas Hernández,20/21,Thigh problems,"Dec 3, 2020","Dec 7, 2020",5 days,1
Lucas Hernández,19/20,Tendon irritation,"Mar 2, 2020","Mar 5, 2020",4 days,1
Lucas Hernández,19/20,Fitness,"Jan 20, 2020","Feb 3, 2020",15 days,2
Lucas Hernández,19/20,Inner ankle ligament tear,"Oct 24, 2019","Jan 20, 2020",89 days,16
Lucas Hernández,19/20,Knee bruise,"Sep 30, 2019","Oct 10, 2019",11 days,2
Achraf Hakimi,22/23,Hamstring injury,"Feb 15, 2023","Mar 6, 2023",20 days,3
Achraf Hakimi,21/22,Hamstring injury,"Feb 24, 2022","Mar 8, 2022",13 days,2
Achraf Hakimi,21/22,Corona virus,"Jul 16, 2021","Jul 30, 2021",15 days,-
Achraf Hakimi,20/21,Ankle problems,"Dec 13, 2020","Dec 16, 2020",4 days,2
Achraf Hakimi,20/21,Quarantine,"Oct 21, 2020","Oct 23, 2020",3 days,1
Achraf Hakimi,18/19,Metatarsal fracture,"Mar 31, 2019","Jun 5, 2019",67 days,7
Yoram Zague,24/25,malaria,"Jul 20, 2024","Jul 27, 2024",8 days,2
Yoram Zague,22/23,Broken ankle,"Apr 8, 2023","Jul 17, 2023",101 days,18
Vitinha,21/22,Corona virus,"May 28, 2022","Jun 6, 2022",10 days,2
Vitinha,19/20,Muscle injury,"Feb 21, 2020","Mar 16, 2020",25 days,4
Warren Zaïre-Emery,24/25,ankle sprain,"Jan 29, 2025","Feb 24, 2025",27 days,8
Warren Zaïre-Emery,23/24,Ankle sprain,"Nov 19, 2023","Dec 6, 2023",18 days,4
Fabián Ruiz,22/23,Adductor pain,"Nov 5, 2022","Nov 14, 2022",10 days,2
Fabián Ruiz,21/22,Corona virus,"Dec 26, 2021","Dec 29, 2021",4 days,-
Fabián Ruiz,21/22,Adductor injury,"Dec 1, 2021","Jan 8, 2022",39 days,7
Fabián Ruiz,21/22,unknown injury,"Nov 23, 2021","Nov 26, 2021",4 days,1
Fabián Ruiz,21/22,Adductor pain,"Nov 3, 2021","Nov 5, 2021",3 days,1
Fabián Ruiz,20/21,Fitness,"Feb 5, 2021","Feb 7, 2021",3 days,1
Fabián Ruiz,20/21,Corona virus,"Jan 16, 2021","Feb 4, 2021",20 days,6
Fabián Ruiz,19/20,flu,"Jan 30, 2020","Feb 5, 2020",7 days,1
Fabián Ruiz,18/19,influenza,"Mar 16, 2019","Mar 25, 2019",10 days,4
Fabián Ruiz,18/19,unknown injury,"Aug 24, 2018","Aug 31, 2018",8 days,1
Fabián Ruiz,17/18,Achilles tendon problems,"Nov 26, 2017","Dec 9, 2017",14 days,2
Fabián Ruiz,16/17,muscular problems,"Apr 29, 2017","May 11, 2017",13 days,1
Fabián Ruiz,16/17,Broken toe,"Apr 3, 2017","Apr 27, 2017",25 days,3
Fabián Ruiz,16/17,Ill,"Oct 26, 2016","Nov 9, 2016",15 days,2
Fabián Ruiz,15/16,Abdominal muscle strain,"Jan 20, 2016","Feb 23, 2016",35 days,5
Senny Mayulu,24/25,Calf problems,"Nov 18, 2024","Dec 12, 2024",25 days,5
Khvicha Kvaratskhelia,24/25,Muscle fatigue,"Jan 3, 2025","Jan 13, 2025",11 days,2
Khvicha Kvaratskhelia,24/25,Inner ligament injury,"Dec 9, 2024","Dec 19, 2024",11 days,1
Khvicha Kvaratskhelia,23/24,Thigh problems,"May 3, 2024","May 9, 2024",7 days,1
Khvicha Kvaratskhelia,23/24,Stomach flu,"Apr 17, 2024","Apr 18, 2024",2 days,-
Khvicha Kvaratskhelia,23/24,Adductor pain,"Mar 26, 2024","Apr 5, 2024",11 days,1
Khvicha Kvaratskhelia,23/24,Muscle fatigue,"Aug 18, 2023","Aug 21, 2023",4 days,1
Khvicha Kvaratskhelia,23/24,Knee bruise,"Aug 2, 2023","Aug 7, 2023",6 days,-
Khvicha Kvaratskhelia,22/23,bruise,"May 18, 2023","May 20, 2023",3 days,-
Khvicha Kvaratskhelia,22/23,flu,"Jan 17, 2023","Jan 25, 2023",9 days,2
Khvicha Kvaratskhelia,22/23,Lumbago,"Nov 4, 2022","Nov 21, 2022",18 days,3
Khvicha Kvaratskhelia,21/22,Muscle injury,"Aug 15, 2021","Aug 30, 2021",16 days,3
Khvicha Kvaratskhelia,20/21,Left hip flexor problems,"Apr 18, 2021","Jun 7, 2021",51 days,5
Khvicha Kvaratskhelia,20/21,Hairline crack in middle finger,"Nov 10, 2020","Dec 1, 2020",22 days,2
Khvicha Kvaratskhelia,20/21,concussion,"Sep 13, 2020","Sep 18, 2020",6 days,2
Khvicha Kvaratskhelia,19/20,Knock,"Oct 10, 2019","Oct 20, 2019",11 days,3
Bradley Barcola,23/24,Hamstring muscle injury,"Mar 23, 2024","Apr 7, 2024",16 days,4
Bradley Barcola,22/23,Ill,"May 12, 2023","May 18, 2023",7 days,1
Désiré Doué,22/23,unknown injury,"Apr 20, 2023","May 18, 2023",29 days,4
Désiré Doué,22/23,Injury to the ankle,"Nov 17, 2022","Jan 6, 2023",51 days,13
Désiré Doué,22/23,Ill,"Oct 28, 2022","Nov 1, 2022",5 days,1
Ousmane Dembélé,24/25,Ill,"Jan 14, 2025","Jan 19, 2025",6 days,2
Ousmane Dembélé,23/24,unknown injury,"Dec 18, 2023","Jan 8, 2024",22 days,3
Ousmane Dembélé,22/23,Hamstring injury,"Jan 29, 2023","Apr 28, 2023",90 days,19
Ousmane Dembélé,21/22,Corona virus,"Dec 29, 2021","Jan 5, 2022",8 days,2
Ousmane Dembélé,21/22,Hamstring injury,"Nov 4, 2021","Nov 22, 2021",19 days,4
Ousmane Dembélé,20/21,Knee injury,"Jun 20, 2021","Nov 1, 2021",135 days,21
Ousmane Dembélé,20/21,unknown injury,"Apr 21, 2021","Apr 23, 2021",3 days,1
Ousmane Dembélé,20/21,Hamstring injury,"Dec 6, 2020","Dec 28, 2020",23 days,5
Ousmane Dembélé,19/20,Hamstring injury,"Feb 4, 2020","Aug 13, 2020",192 days,19
Ousmane Dembélé,19/20,Torn muscle bundle,"Nov 28, 2019","Feb 2, 2020",67 days,13
Ousmane Dembélé,19/20,muscular problems,"Sep 27, 2019","Sep 30, 2019",4 days,1
Ousmane Dembélé,19/20,Hamstring injury,"Aug 19, 2019","Sep 22, 2019",35 days,7
Ousmane Dembélé,18/19,Hamstring injury,"May 5, 2019","Jun 16, 2019",43 days,7
Ousmane Dembélé,18/19,Torn muscle bundle,"Mar 14, 2019","Apr 9, 2019",27 days,6
Ousmane Dembélé,18/19,Ankle injury,"Jan 21, 2019","Feb 8, 2019",19 days,5
Kang-in Lee,24/25,Foot injury,"Mar 20, 2025",,15 days,3
Kang-in Lee,23/24,Muscle injury,"Aug 22, 2023","Sep 13, 2023",23 days,4
Kang-in Lee,21/22,Corona virus,"Jan 4, 2022","Jan 11, 2022",8 days,2
Kang-in Lee,20/21,Corona virus,"Dec 1, 2020","Dec 11, 2020",11 days,1
Kang-in Lee,19/20,Muscle injury,"Nov 27, 2019","Dec 31, 2019",35 days,9
Mbaye,24/25,ankle sprain,"Jan 11, 2025","Feb 8, 2025",29 days,-
Gonçalo Ramos,24/25,Ankle injury,"Aug 16, 2024","Nov 15, 2024",92 days,20
Gonçalo Ramos,22/23,muscular problems,"Jan 27, 2023","Feb 7, 2023",12 days,2
Gonçalo Ramos,22/23,Muscle injury,"Nov 3, 2022","Nov 10, 2022",8 days,2
Gonçalo Ramos,20/21,Muscle injury,"Feb 16, 2021","Feb 21, 2021",6 days,2
Gonçalo Ramos,20/21,Corona virus,"Dec 24, 2020","Jan 5, 2021",13 days,2
Radoslaw Majecki,24/25,Muscle injury,"Dec 11, 2024","Jan 1, 2025",22 days,4
Radoslaw Majecki,24/25,Ankle sprain,"Aug 1, 2024","Oct 1, 2024",62 days,7
Radoslaw Majecki,22/23,Chest injury,"Feb 25, 2023","Mar 30, 2023",34 days,4
Radoslaw Majecki,22/23,Muscle injury,"Jan 20, 2023","Feb 2, 2023",14 days,2
Radoslaw Majecki,21/22,Muscle injury,"Jan 27, 2022","Feb 21, 2022",26 days,5
Radoslaw Majecki,18/19,Bruised ribs,"Mar 15, 2019","May 5, 2019",52 days,14
Philipp Köhn,21/22,Knee injury,"May 20, 2022","Jun 30, 2022",42 days,5
Philipp Köhn,21/22,Knee injury,"Mar 21, 2022","Apr 2, 2022",13 days,2
Philipp Köhn,20/21,Quarantine,"Jan 11, 2021","Jan 21, 2021",11 days,-
Philipp Köhn,20/21,Ill,"Jan 7, 2021","Jan 21, 2021",15 days,-
Philipp Köhn,20/21,concussion,"Sep 28, 2020","Oct 14, 2020",17 days,6
