player_name,season,injury,from_date,to_date,days_out,matches_missed
Lucas Rosa,19/20,unknown injury,"Nov 26, 2019","Nov 28, 2019",3 days,1
Mokio,24/25,unknown injury,"Sep 30, 2024","Oct 17, 2024",18 days,4
Kenneth Taylor,24/25,Ill,"Feb 15, 2025","Feb 19, 2024",363 days,-
Kenneth Taylor,24/25,Ill,"Nov 12, 2024","Nov 19, 2024",8 days,-
Kenneth Taylor,24/25,minor knock,"Sep 2, 2024","Sep 17, 2024",16 days,2
Kenneth Taylor,22/23,unknown injury,"Oct 15, 2022","Oct 25, 2022",11 days,2
Kenneth Taylor,20/21,Corona virus,"Nov 1, 2020","Nov 6, 2020",6 days,-
Kenneth Taylor,19/20,Appendectomy,"Sep 12, 2019","Sep 26, 2019",15 days,5
Kenneth Taylor,18/19,unknown injury,"Sep 16, 2018","Sep 27, 2018",12 days,3
Branco van den Boomen,24/25,Back problems,"Feb 12, 2025",,18 days,4
Branco van den Boomen,23/24,Knee injury,"Nov 8, 2023","Feb 14, 2024",99 days,15
Branco van den Boomen,18/19,unknown injury,"Nov 23, 2018","Dec 5, 2018",13 days,2
Branco van den Boomen,16/17,Knee injury,"Nov 3, 2016","Dec 15, 2016",43 days,5
Youri Regeer,24/25,Ankle injury,"Feb 6, 2025","Apr 6, 2025",60 days,12
Youri Regeer,24/25,Ill,"Nov 13, 2024","Nov 22, 2024",10 days,-
Youri Regeer,24/25,Head injury,"Aug 11, 2024","Aug 15, 2024",5 days,1
Youri Regeer,23/24,Thigh problems,"Jan 18, 2024","Jan 31, 2024",14 days,2
Youri Regeer,22/23,Knock,"Jan 7, 2023","Jan 13, 2023",7 days,2
Youri Regeer,22/23,Foot injury,"Jul 20, 2022","Jul 29, 2022",10 days,-
Youri Regeer,21/22,Knock,"Mar 31, 2022","Apr 16, 2022",17 days,4
Youri Regeer,19/20,Knock,"Sep 26, 2019","Oct 1, 2019",6 days,1
Youri Regeer,18/19,Hamstring injury,"Sep 23, 2018","Oct 19, 2018",27 days,8
Kian Fitz-Jim,24/25,Muscle injury,"Oct 1, 2024","Oct 22, 2024",22 days,5
Kian Fitz-Jim,24/25,Shoulder injury,"Aug 21, 2024","Aug 28, 2024",8 days,1
Kian Fitz-Jim,23/24,Muscle injury,"Nov 29, 2023","Dec 13, 2023",15 days,2
Kian Fitz-Jim,22/23,Ankle injury,"Apr 21, 2023","Aug 5, 2023",107 days,10
Kian Fitz-Jim,19/20,Toe injury,"Aug 11, 2019","Sep 20, 2019",41 days,7
Kian Fitz-Jim,18/19,Knock,"Jan 28, 2019","Mar 20, 2019",52 days,8
Davy Klaassen,21/22,Groin problems,"Sep 10, 2021","Sep 24, 2021",15 days,4
Davy Klaassen,20/21,Calf injury,"May 13, 2021","May 24, 2021",12 days,2
Davy Klaassen,17/18,Foot injury,"Aug 23, 2017","Sep 7, 2017",16 days,4
Davy Klaassen,16/17,Knee injury,"May 28, 2017","Jun 1, 2017",5 days,1
Davy Klaassen,16/17,Rest,"Nov 24, 2016","Nov 24, 2016",1 days,1
Davy Klaassen,16/17,Rest,"Oct 26, 2016","Oct 26, 2016",1 days,1
Davy Klaassen,16/17,Rest,"Sep 21, 2016","Sep 21, 2016",1 days,1
Davy Klaassen,16/17,Shoulder injury,"Jul 9, 2016","Jul 17, 2016",9 days,-
Davy Klaassen,15/16,Knee problems,"Mar 27, 2016","Mar 31, 2016",5 days,1
Davy Klaassen,15/16,Knee problems,"Jan 7, 2016","Jan 30, 2016",24 days,3
Davy Klaassen,15/16,Knee problems,"Nov 11, 2015","Nov 18, 2015",8 days,1
Davy Klaassen,15/16,concussion,"Oct 26, 2015","Oct 30, 2015",5 days,1
Davy Klaassen,15/16,concussion,"Oct 5, 2015","Oct 13, 2015",9 days,2
Davy Klaassen,14/15,Injury to abdominal muscles,"May 1, 2015","Jun 25, 2015",56 days,4
Davy Klaassen,14/15,Injury to abdominal muscles,"Feb 4, 2015","Feb 6, 2015",3 days,1
Jordan Henderson,24/25,Hamstring injury,"Feb 9, 2025","Feb 19, 2025",11 days,3
Jordan Henderson,24/25,Groin problems,"Oct 1, 2024","Oct 5, 2024",5 days,1
Jordan Henderson,23/24,Muscle injury,"Mar 28, 2024","May 4, 2024",38 days,5
Jordan Henderson,23/24,unknown injury,"Feb 21, 2024","Feb 24, 2024",4 days,1
Jordan Henderson,22/23,Hamstring injury,"Aug 31, 2022","Sep 25, 2022",26 days,5
Jordan Henderson,21/22,Ill,"Dec 18, 2021","Dec 20, 2021",3 days,1
Jordan Henderson,20/21,Groin surgery,"Feb 26, 2021","May 19, 2021",83 days,18
Jordan Henderson,20/21,Knock,"Nov 16, 2020","Nov 27, 2020",12 days,3
Jordan Henderson,20/21,Hip problems,"Oct 2, 2020","Oct 3, 2020",2 days,-
Jordan Henderson,19/20,Knee injury,"Jul 9, 2020","Aug 30, 2020",53 days,5
Jordan Henderson,19/20,Hamstring injury,"Feb 19, 2020","Mar 10, 2020",21 days,4
Jordan Henderson,18/19,Ankle injury,"Mar 14, 2019","Mar 22, 2019",9 days,2
Jordan Henderson,18/19,Ligament injury,"Feb 1, 2019","Feb 8, 2019",8 days,1
Jordan Henderson,18/19,Calf stiffness,"Jan 4, 2019","Jan 11, 2019",8 days,1
Jordan Henderson,18/19,Hip injury,"Oct 21, 2018","Nov 8, 2018",19 days,4
